gender,Partner,Dependents,PhoneService,tenure,MonthlyCharges
Female,No,No,Yes,3,19.85
Female,No,Yes,Yes,15,85.9
Female,Yes,Yes,Yes,72,90.35
Male,No,No,Yes,1,20.8
Female,No,No,Yes,22,89.25
Male,Yes,No,Yes,3,70.3
Female,Yes,Yes,Yes,72,66.85
Male,Yes,Yes,Yes,65,19.9
Female,No,No,No,11,35.8
Male,No,No,Yes,22,78.85
Male,No,No,Yes,14,20.4
Male,No,No,Yes,41,74.25
Male,Yes,No,Yes,17,64.8
Male,No,No,Yes,11,20.45
Male,No,No,Yes,15,93.35
Female,No,No,Yes,1,19.9
Female,Yes,No,Yes,5,88.9
Male,Yes,No,Yes,33,95.8
Female,Yes,No,Yes,72,110.65
Female,Yes,Yes,No,3,40.3
Male,No,No,Yes,2,82.0
Female,Yes,No,Yes,59,107.0
Male,No,No,Yes,2,45.35
Male,Yes,Yes,Yes,71,73.35
Female,Yes,Yes,Yes,5,44.8
Male,Yes,Yes,Yes,27,54.75
Female,No,No,Yes,1,52.2
Male,No,Yes,No,63,40.6
Female,No,No,Yes,46,110.0
Male,Yes,Yes,Yes,72,55.3
Female,Yes,No,Yes,34,60.85
Female,Yes,Yes,Yes,24,78.4
Male,No,No,Yes,72,69.65
Female,Yes,Yes,No,60,59.85
Male,No,No,Yes,68,76.9
Female,Yes,Yes,Yes,8,19.85
Female,No,Yes,Yes,34,67.65
Female,No,No,No,6,45.0
Male,Yes,No,Yes,2,64.2
Male,No,No,Yes,31,81.7
Female,Yes,Yes,Yes,20,25.55
Female,Yes,Yes,Yes,1,20.0
Male,No,No,Yes,62,96.75
Female,Yes,No,Yes,70,75.65
Female,No,No,Yes,10,98.5
Male,Yes,Yes,Yes,39,23.8
Female,Yes,No,Yes,46,64.2
Male,No,No,Yes,6,85.35
Female,Yes,Yes,Yes,72,76.8
Male,No,No,Yes,18,55.2
Male,Yes,No,Yes,71,108.55
Male,Yes,No,Yes,40,101.3
Male,No,No,Yes,1,69.55
Male,No,No,Yes,58,103.25
Male,No,No,Yes,70,104.0
Female,Yes,No,Yes,42,25.25
Male,Yes,Yes,No,34,30.4
Male,No,No,Yes,5,20.05
Female,No,No,Yes,25,84.6
Female,No,No,Yes,2,86.2
Female,Yes,Yes,Yes,55,103.7
Male,Yes,No,Yes,21,111.2
Male,Yes,No,Yes,70,88.0
Female,Yes,No,Yes,61,106.35
Male,Yes,Yes,Yes,43,79.15
Male,No,No,Yes,47,103.1
Male,No,No,Yes,5,63.95
Female,No,No,Yes,62,25.8
Female,Yes,Yes,Yes,16,89.45
Male,Yes,No,Yes,7,95.6
Female,Yes,Yes,Yes,14,25.55
Male,Yes,Yes,Yes,60,90.95
Male,Yes,Yes,No,34,44.85
Female,Yes,No,Yes,50,108.55
Male,Yes,Yes,Yes,38,25.05
Female,Yes,Yes,Yes,70,74.1
Female,Yes,Yes,Yes,37,88.8
Female,No,No,Yes,4,78.85
Male,Yes,Yes,Yes,60,93.25
Male,Yes,Yes,Yes,62,71.4
Male,No,No,Yes,1,44.4
Male,No,No,Yes,36,79.2
Male,No,No,Yes,44,20.4
Female,No,No,Yes,55,100.0
Female,Yes,No,Yes,72,105.0
Female,Yes,Yes,Yes,12,19.8
Female,No,No,No,13,30.85
Male,No,No,Yes,1,89.9
Female,Yes,Yes,Yes,15,20.55
Female,No,No,Yes,65,84.85
Female,Yes,Yes,No,12,33.15
Male,Yes,No,Yes,72,92.0
Female,Yes,Yes,Yes,72,89.8
Female,Yes,Yes,Yes,72,115.8
Male,No,Yes,Yes,52,85.15
Male,No,No,Yes,2,24.85
Female,No,No,Yes,5,64.35
Female,No,No,Yes,68,20.5
Female,No,Yes,Yes,62,100.15
Male,No,No,Yes,72,86.05
Male,No,No,Yes,1,50.8
Female,Yes,No,Yes,66,89.0
Male,Yes,Yes,No,72,64.8
Male,No,No,Yes,26,19.8
Male,Yes,Yes,Yes,64,93.4
Male,Yes,No,Yes,20,73.65
Female,No,No,Yes,3,95.1
Male,No,No,Yes,22,94.65
Male,Yes,No,Yes,4,80.6
Male,Yes,No,No,62,39.0
Female,No,No,Yes,5,20.5
Male,Yes,No,Yes,59,85.55
Male,No,Yes,Yes,3,26.4
Female,Yes,No,Yes,72,98.2
Male,Yes,Yes,Yes,57,97.55
Male,No,Yes,Yes,66,19.95
Female,No,No,No,60,50.8
Male,No,Yes,Yes,45,99.7
Female,No,No,No,3,34.8
Female,No,No,Yes,15,105.1
Female,No,Yes,No,51,60.15
Female,No,No,Yes,60,64.75
Male,No,No,Yes,33,54.65
Male,No,No,Yes,10,110.1
Male,No,No,Yes,26,19.3
Female,No,No,Yes,6,83.9
Female,Yes,No,Yes,67,111.25
Female,Yes,Yes,No,49,35.8
Male,No,No,Yes,1,20.05
Female,No,No,Yes,7,84.35
Female,No,No,Yes,27,110.5
Male,Yes,Yes,Yes,37,91.2
Female,Yes,Yes,Yes,63,100.55
Male,Yes,Yes,Yes,31,89.3
Male,Yes,Yes,Yes,50,103.85
Male,No,No,Yes,32,81.1
Female,No,No,No,1,24.6
Female,Yes,No,Yes,63,81.2
Male,No,No,Yes,30,94.3
Male,Yes,No,Yes,71,116.1
Female,No,No,Yes,53,105.55
Female,No,No,Yes,12,98.9
Male,Yes,No,Yes,50,94.4
Female,No,No,Yes,2,19.5
Female,No,No,Yes,9,98.3
Male,No,No,Yes,17,93.85
Female,Yes,No,Yes,56,105.6
Male,Yes,Yes,Yes,67,81.35
Male,No,No,Yes,9,100.5
Male,No,No,Yes,4,56.4
Male,No,No,Yes,19,65.35
Female,No,Yes,Yes,8,19.95
Female,No,No,Yes,71,111.25
Male,No,No,Yes,10,72.85
Female,No,No,Yes,15,89.0
Male,Yes,Yes,Yes,72,106.1
Male,No,No,Yes,12,20.05
Male,Yes,Yes,Yes,72,25.2
Male,Yes,No,Yes,1,73.55
Female,No,No,Yes,23,75.4
Male,No,No,No,72,65.55
Female,No,No,Yes,26,80.7
Female,No,No,Yes,21,104.55
Male,Yes,No,Yes,60,24.15
Male,No,No,Yes,12,20.45
Male,Yes,No,Yes,16,75.4
Female,Yes,No,Yes,63,79.7
Female,No,No,Yes,22,81.7
Female,Yes,Yes,Yes,32,76.3
Female,No,No,Yes,3,79.4
Female,No,No,Yes,13,81.15
Female,Yes,Yes,Yes,68,103.75
Female,Yes,Yes,Yes,30,86.45
Female,No,No,Yes,16,75.1
Male,No,No,Yes,33,80.6
Male,Yes,No,Yes,72,19.3
Female,No,No,Yes,4,84.6
Female,No,No,No,12,33.6
Female,Yes,No,Yes,4,83.25
Female,Yes,Yes,Yes,0,80.85
Female,No,No,Yes,6,79.05
Female,Yes,No,Yes,65,108.05
Female,No,No,Yes,15,19.9
Female,No,Yes,Yes,24,21.05
Female,No,Yes,No,13,30.15
Male,No,No,Yes,24,79.85
Female,Yes,No,No,72,65.5
Female,Yes,Yes,Yes,54,104.1
Female,No,No,Yes,3,74.4
Male,Yes,Yes,Yes,4,20.5
Female,Yes,Yes,Yes,32,91.35
Male,No,No,Yes,35,99.05
Male,Yes,Yes,Yes,35,20.5
Male,No,No,Yes,2,44.95
Female,No,No,Yes,8,75.6
Male,No,No,Yes,22,55.1
Female,No,No,Yes,15,58.95
Male,No,No,Yes,22,95.1
Male,Yes,No,Yes,1,44.7
Female,Yes,Yes,Yes,71,25.45
Male,No,No,Yes,4,56.75
Male,No,No,Yes,25,81.75
Female,Yes,Yes,Yes,32,86.1
Male,Yes,No,No,7,29.8
Male,No,No,Yes,17,20.5
Male,Yes,No,Yes,8,60.9
Female,No,No,Yes,56,73.25
Male,No,No,Yes,1,45.7
Male,No,No,Yes,8,100.3
Male,No,No,Yes,7,19.25
Male,No,Yes,Yes,3,20.85
Female,No,No,Yes,71,77.35
Female,No,No,Yes,2,96.0
Female,No,No,Yes,1,90.55
Male,Yes,No,Yes,49,93.85
Male,No,No,Yes,58,70.1
Male,Yes,No,No,44,30.35
Female,Yes,Yes,Yes,59,75.95
Male,No,No,Yes,71,108.05
Male,No,No,Yes,1,69.9
Female,No,No,Yes,11,75.25
Male,Yes,No,Yes,62,103.75
Female,Yes,Yes,Yes,35,54.95
Female,No,No,Yes,20,19.5
Male,Yes,Yes,Yes,40,19.6
Female,No,No,Yes,39,47.85
Male,No,No,Yes,1,86.6
Female,Yes,Yes,Yes,72,23.75
Female,Yes,No,Yes,33,80.6
Female,No,No,Yes,12,43.8
Male,No,No,Yes,1,19.75
Male,No,Yes,Yes,27,19.15
Male,Yes,Yes,Yes,34,19.6
Female,Yes,No,Yes,56,80.3
Female,No,No,Yes,58,24.35
Female,Yes,Yes,Yes,22,25.25
Female,Yes,Yes,Yes,10,26.1
Male,No,No,Yes,13,20.0
Female,No,No,Yes,35,85.3
Female,No,No,Yes,34,70.0
Female,No,No,Yes,4,94.3
Male,Yes,No,Yes,72,20.7
Male,No,No,Yes,2,70.3
Female,No,No,Yes,7,95.35
Male,Yes,No,Yes,27,75.5
Male,Yes,Yes,Yes,4,69.55
Female,No,No,Yes,37,19.85
Male,No,No,Yes,21,20.0
Female,Yes,No,Yes,53,95.85
Female,No,No,Yes,18,90.1
Female,No,No,Yes,2,68.95
Male,Yes,Yes,Yes,32,99.55
Male,Yes,No,Yes,23,20.75
Male,No,No,Yes,3,50.15
Female,Yes,Yes,No,71,58.65
Male,No,No,Yes,9,95.9
Female,No,No,Yes,1,49.5
Male,Yes,Yes,Yes,18,57.45
Male,Yes,Yes,Yes,12,53.65
Male,Yes,No,Yes,71,80.1
Female,No,No,Yes,64,24.4
Male,No,No,No,4,40.05
Female,No,No,Yes,23,19.5
Female,Yes,Yes,Yes,39,51.05
Male,Yes,No,Yes,28,54.35
Female,No,No,Yes,5,84.7
Female,Yes,No,Yes,45,86.1
Male,No,No,Yes,37,70.35
Female,Yes,No,Yes,60,110.0
Male,No,No,Yes,8,100.6
Female,No,No,Yes,47,94.9
Male,Yes,Yes,Yes,26,83.75
Female,Yes,Yes,Yes,3,88.3
Female,Yes,Yes,Yes,50,69.75
Male,Yes,Yes,Yes,27,71.6
Female,No,No,Yes,8,92.1
Female,Yes,No,Yes,62,23.65
Female,Yes,No,Yes,71,81.85
Male,No,No,Yes,66,25.1
Male,Yes,Yes,Yes,68,114.7
Female,No,No,No,13,49.15
Male,Yes,No,Yes,56,80.9
Male,Yes,No,Yes,38,79.45
Male,No,No,Yes,14,90.45
Female,No,Yes,Yes,16,19.3
Female,Yes,Yes,Yes,14,70.2
Male,Yes,Yes,Yes,32,69.75
Female,No,No,Yes,8,54.25
Female,Yes,Yes,Yes,43,99.3
Female,No,No,Yes,52,74.0
Male,No,No,Yes,3,50.25
Male,No,No,Yes,29,19.8
Female,No,No,Yes,1,19.65
Male,No,No,No,12,43.65
Female,Yes,Yes,No,16,35.5
Female,No,No,Yes,40,80.75
Female,No,No,No,5,39.5
Male,Yes,No,Yes,40,97.1
Female,No,No,Yes,36,19.55
Female,No,No,Yes,5,80.0
Female,No,No,Yes,10,84.7
Male,Yes,Yes,Yes,2,89.55
Male,No,No,Yes,23,90.6
Male,Yes,Yes,Yes,26,20.05
Female,Yes,No,Yes,72,112.4
Female,Yes,No,Yes,34,50.2
Male,No,No,Yes,10,62.25
Female,No,No,Yes,14,55.7
Female,No,No,Yes,23,90.05
Male,Yes,No,Yes,47,19.65
Male,Yes,No,Yes,24,89.25
Male,Yes,No,Yes,49,99.05
Male,No,No,Yes,20,54.0
Female,No,No,Yes,2,69.75
Female,No,No,Yes,2,49.05
Male,No,No,No,22,56.75
Male,No,No,Yes,7,98.05
Male,No,No,Yes,1,21.1
Female,Yes,Yes,Yes,59,96.65
Female,Yes,Yes,Yes,58,24.5
Female,No,No,Yes,41,114.5
Female,No,No,Yes,59,79.2
Female,Yes,Yes,Yes,3,69.55
Male,No,No,Yes,32,20.05
Male,Yes,No,Yes,46,98.85
Male,Yes,Yes,Yes,0,25.75
Male,No,No,Yes,2,80.95
Female,Yes,Yes,Yes,52,19.6
Female,No,No,Yes,13,74.3
Female,No,No,Yes,11,89.7
Male,No,No,Yes,32,87.65
Male,Yes,No,Yes,17,100.45
Female,No,No,Yes,16,74.75
Female,No,No,Yes,51,107.45
Male,No,No,Yes,29,75.35
Male,Yes,No,Yes,70,64.95
Female,Yes,Yes,Yes,71,100.45
Male,Yes,Yes,Yes,41,68.5
Male,No,No,Yes,1,80.55
Female,Yes,No,Yes,7,81.25
Male,Yes,Yes,Yes,25,90.4
Male,Yes,Yes,Yes,67,89.55
Male,Yes,Yes,Yes,5,55.7
Male,No,Yes,Yes,15,24.8
Female,Yes,Yes,Yes,20,20.0
Male,Yes,Yes,Yes,3,56.15
Male,Yes,Yes,Yes,54,105.2
Male,No,No,Yes,42,19.55
Female,Yes,No,Yes,9,79.75
Female,No,No,Yes,63,97.45
Female,Yes,No,Yes,69,24.25
Female,No,No,Yes,69,24.6
Male,Yes,No,Yes,40,50.15
Male,No,No,No,60,39.6
Female,No,No,Yes,4,94.4
Female,No,No,Yes,71,89.85
Female,Yes,No,Yes,37,78.95
Male,Yes,No,Yes,32,98.85
Male,No,No,Yes,39,53.85
Female,No,No,Yes,38,24.25
Male,No,No,Yes,52,89.45
Female,Yes,Yes,Yes,48,105.25
Male,Yes,Yes,No,70,59.5
Male,No,No,Yes,20,70.55
Female,No,No,Yes,50,82.5
Female,No,No,No,19,44.85
Male,Yes,Yes,Yes,25,61.6
Male,No,No,Yes,12,49.05
Male,Yes,No,Yes,39,105.65
Male,No,No,Yes,7,74.65
Female,Yes,Yes,Yes,23,66.25
Male,No,No,Yes,27,19.4
Male,No,No,Yes,47,86.05
Male,Yes,Yes,Yes,26,19.15
Female,Yes,No,Yes,14,64.7
Female,Yes,No,Yes,11,104.05
Male,No,Yes,Yes,2,19.25
Female,Yes,Yes,Yes,26,81.95
Female,Yes,No,Yes,72,114.65
Female,Yes,Yes,Yes,63,20.0
Male,Yes,Yes,Yes,71,19.8
Male,Yes,Yes,Yes,11,65.15
Male,Yes,No,Yes,14,19.65
Female,No,Yes,Yes,13,88.95
Male,No,Yes,Yes,6,20.2
Male,Yes,Yes,Yes,11,75.2
Male,Yes,No,Yes,18,56.8
Male,No,No,No,1,35.55
Female,Yes,No,Yes,32,75.5
Male,No,No,No,29,35.6
Female,No,No,Yes,3,60.25
Female,No,No,Yes,2,95.15
Male,Yes,Yes,Yes,13,96.65
Female,No,No,No,41,40.35
Female,No,No,Yes,1,18.85
Male,No,No,Yes,7,54.85
Female,Yes,No,Yes,52,64.3
Female,Yes,Yes,Yes,45,24.65
Male,Yes,No,Yes,70,76.1
Female,No,No,Yes,53,18.7
Female,Yes,No,Yes,62,97.95
Female,Yes,No,Yes,60,94.1
Female,Yes,No,Yes,3,80.4
Female,Yes,No,Yes,23,95.1
Male,No,Yes,No,1,31.35
Female,No,No,Yes,67,72.35
Female,No,No,Yes,12,89.75
Female,Yes,No,Yes,71,82.7
Male,No,No,Yes,25,19.9
Female,No,No,Yes,5,53.8
Male,No,No,Yes,26,51.55
Male,Yes,Yes,Yes,1,19.65
Male,No,No,No,70,44.05
Male,Yes,Yes,Yes,72,114.0
Male,Yes,No,Yes,60,94.4
Female,Yes,Yes,Yes,32,100.4
Male,No,No,Yes,1,19.85
Female,No,No,Yes,14,54.25
Female,No,No,Yes,13,80.0
Female,No,No,Yes,6,109.9
Female,No,No,Yes,46,79.2
Male,No,No,Yes,15,101.35
Male,Yes,No,Yes,43,94.3
Male,No,No,Yes,39,49.8
Male,No,No,Yes,21,60.05
Male,No,No,No,57,53.75
Female,Yes,No,Yes,53,93.45
Male,Yes,Yes,Yes,18,87.9
Female,No,No,Yes,1,60.15
Female,Yes,No,Yes,58,61.05
Female,No,No,Yes,71,104.05
Female,No,No,Yes,35,99.25
Male,No,No,Yes,3,85.7
Male,No,No,Yes,38,104.85
Male,Yes,Yes,Yes,35,69.15
Male,No,No,Yes,7,90.45
Female,No,No,Yes,47,74.45
Female,No,No,Yes,14,50.45
Female,Yes,No,Yes,20,60.0
Male,Yes,No,Yes,66,85.25
Male,Yes,No,Yes,15,19.45
Female,No,No,Yes,42,20.75
Female,Yes,No,Yes,17,78.9
Male,No,No,Yes,37,104.5
Female,No,No,Yes,12,49.4
Male,Yes,No,Yes,53,94.25
Female,No,No,Yes,60,25.0
Male,Yes,Yes,No,18,25.55
Male,No,No,Yes,1,74.9
Female,No,No,Yes,3,70.15
Female,No,Yes,Yes,9,69.4
Female,No,No,Yes,1,80.25
Male,Yes,No,Yes,56,93.15
Male,Yes,Yes,Yes,17,69.0
Female,Yes,Yes,Yes,11,66.35
Male,No,No,Yes,7,69.55
Female,Yes,Yes,Yes,69,20.2
Male,No,No,Yes,19,86.0
Female,Yes,Yes,Yes,3,80.3
Male,Yes,Yes,Yes,54,20.4
Male,Yes,No,Yes,62,23.75
Male,No,No,Yes,24,90.55
Female,Yes,Yes,Yes,62,70.45
Male,No,No,Yes,17,65.75
Male,No,No,No,9,24.6
Male,Yes,Yes,Yes,64,69.25
Female,No,No,Yes,2,75.9
Male,Yes,Yes,Yes,1,45.85
Female,Yes,No,No,16,49.95
Female,Yes,No,Yes,72,24.65
Male,No,No,Yes,30,90.4
Female,Yes,No,Yes,49,100.85
Male,Yes,No,Yes,61,75.35
Male,Yes,Yes,Yes,47,87.2
Male,No,No,Yes,20,64.4
Male,Yes,Yes,Yes,34,78.3
Female,Yes,Yes,Yes,70,24.7
Male,No,Yes,Yes,54,105.85
Male,Yes,No,Yes,61,98.3
Male,No,No,Yes,3,76.95
Male,No,No,Yes,13,19.45
Female,No,No,Yes,16,96.15
Female,Yes,Yes,Yes,3,58.7
Male,No,No,Yes,25,20.15
Male,No,No,Yes,30,64.5
Female,Yes,No,No,21,28.5
Male,No,No,Yes,1,45.3
Female,No,No,Yes,15,19.4
Male,Yes,No,Yes,23,90.45
Female,Yes,Yes,Yes,45,105.15
Female,Yes,Yes,Yes,24,83.15
Female,No,No,Yes,11,90.15
Male,No,No,Yes,1,45.05
Female,Yes,No,Yes,56,103.2
Female,No,No,Yes,1,75.8
Male,No,No,Yes,1,19.45
Female,No,No,Yes,7,79.3
Female,Yes,No,Yes,55,88.8
Female,No,No,No,2,30.9
Female,Yes,Yes,Yes,72,85.9
Female,No,No,No,45,34.2
Female,No,No,Yes,47,20.15
Female,No,No,Yes,46,95.25
Male,No,No,Yes,2,50.3
Female,Yes,No,Yes,2,80.15
Female,Yes,No,Yes,12,51.25
Female,Yes,No,Yes,68,89.6
Male,Yes,Yes,Yes,69,95.2
Male,No,Yes,Yes,56,94.8
Female,No,No,Yes,4,80.25
Male,Yes,No,Yes,64,76.1
Male,Yes,No,Yes,59,110.15
Male,Yes,Yes,Yes,62,115.55
Male,Yes,Yes,Yes,63,24.65
Female,No,No,No,53,53.6
Male,Yes,Yes,Yes,5,19.45
Male,Yes,No,Yes,49,88.2
Female,Yes,Yes,Yes,62,101.15
Female,Yes,No,Yes,55,56.8
Female,Yes,No,Yes,71,99.4
Female,Yes,Yes,Yes,72,20.1
Male,Yes,Yes,No,36,60.7
Male,Yes,No,Yes,25,20.95
Female,Yes,No,Yes,72,114.85
Female,No,No,Yes,36,19.25
Male,No,No,Yes,1,62.8
Female,Yes,No,Yes,72,105.5
Male,Yes,Yes,Yes,59,19.85
Male,Yes,No,Yes,7,89.5
Female,No,No,Yes,1,74.1
Female,Yes,Yes,Yes,30,107.5
Male,No,No,Yes,64,19.55
Male,No,No,Yes,63,68.8
Male,Yes,No,Yes,72,84.45
Male,Yes,No,Yes,8,75.0
Female,No,No,Yes,62,84.5
Male,Yes,Yes,Yes,67,111.2
Male,No,No,Yes,6,44.75
Female,Yes,Yes,Yes,70,80.6
Female,No,No,Yes,20,80.7
Female,No,No,Yes,5,75.6
Female,Yes,Yes,No,24,57.6
Female,Yes,No,Yes,11,44.05
Male,Yes,No,Yes,72,110.6
Female,Yes,Yes,Yes,66,58.2
Female,Yes,Yes,Yes,45,81.0
Female,Yes,Yes,Yes,69,19.7
Male,Yes,No,Yes,15,85.6
Female,No,No,Yes,28,59.55
Female,No,No,Yes,70,115.55
Female,No,No,Yes,36,75.55
Male,No,No,Yes,16,86.6
Female,No,No,Yes,18,85.2
Female,Yes,No,Yes,34,97.65
Male,Yes,Yes,No,42,45.1
Male,No,No,Yes,48,70.95
Male,Yes,No,Yes,47,109.55
Female,Yes,Yes,Yes,39,89.55
Female,Yes,Yes,Yes,11,20.9
Male,No,No,Yes,7,19.95
Female,No,No,Yes,3,24.6
Male,No,No,Yes,8,66.7
Male,No,Yes,Yes,1,19.45
Male,Yes,Yes,Yes,32,94.8
Male,Yes,Yes,Yes,60,65.85
Female,Yes,No,Yes,10,19.95
Female,Yes,No,Yes,71,24.65
Female,Yes,Yes,Yes,4,20.35
Female,No,No,Yes,1,69.25
Female,Yes,Yes,No,43,51.25
Male,Yes,No,Yes,59,99.5
Female,Yes,No,Yes,23,54.25
Female,Yes,No,Yes,72,19.4
Male,Yes,No,Yes,22,56.25
Female,No,No,No,1,25.15
Male,No,No,Yes,69,23.95
Male,No,No,No,50,35.4
Female,No,No,No,1,25.2
Male,No,No,Yes,2,45.0
Female,Yes,No,Yes,15,75.35
Male,No,No,Yes,31,20.4
Male,No,No,Yes,1,20.15
Male,Yes,No,Yes,66,105.0
Female,Yes,Yes,No,0,56.05
Male,No,Yes,Yes,3,54.7
Female,No,No,Yes,8,20.0
Male,Yes,Yes,Yes,64,73.05
Female,Yes,No,Yes,28,20.5
Female,Yes,No,Yes,57,100.75
Female,Yes,Yes,Yes,14,87.25
Male,No,No,Yes,19,19.95
Male,Yes,No,Yes,10,79.95
Female,Yes,No,No,51,49.65
Female,Yes,No,Yes,67,65.65
Male,Yes,Yes,Yes,11,20.45
Male,Yes,Yes,No,72,60.95
Male,Yes,Yes,Yes,66,20.35
Female,No,No,Yes,18,88.35
Female,No,No,Yes,9,19.5
Female,No,No,Yes,9,75.2
Male,Yes,No,Yes,48,111.45
Male,No,No,Yes,10,70.15
Female,No,No,Yes,9,94.75
Female,No,No,Yes,13,95.05
Male,No,No,Yes,4,78.45
Male,No,No,Yes,4,70.2
Female,Yes,No,Yes,72,92.0
Female,Yes,Yes,Yes,51,85.5
Male,Yes,No,No,59,41.05
Male,Yes,No,Yes,10,85.6
Male,Yes,No,Yes,61,82.15
Male,No,No,Yes,54,84.4
Female,No,No,Yes,33,60.9
Female,No,No,Yes,27,20.25
Female,No,No,Yes,1,79.2
Male,No,No,Yes,23,95.3
Male,No,Yes,Yes,1,19.85
Male,Yes,Yes,Yes,45,84.35
Female,Yes,Yes,Yes,39,19.85
Male,No,No,Yes,5,70.0
Male,Yes,Yes,Yes,72,82.3
Female,Yes,Yes,Yes,58,66.8
Female,No,No,No,70,44.6
Male,Yes,Yes,Yes,61,98.45
Male,No,No,Yes,2,70.7
Female,Yes,Yes,Yes,46,24.95
Female,No,No,Yes,1,49.95
Female,Yes,No,Yes,22,69.25
Female,No,No,Yes,48,102.5
Male,No,No,Yes,64,86.55
Male,Yes,Yes,Yes,72,24.3
Female,Yes,Yes,Yes,12,58.35
Female,Yes,No,Yes,34,94.25
Female,Yes,Yes,Yes,72,68.75
Male,Yes,No,Yes,29,85.8
Male,Yes,Yes,Yes,33,20.1
Female,No,No,Yes,1,20.35
Female,Yes,Yes,Yes,62,110.8
Male,Yes,No,Yes,41,73.0
Female,No,No,Yes,64,100.05
Female,No,No,Yes,4,82.85
Female,No,No,Yes,24,84.35
Female,Yes,Yes,Yes,14,19.55
Male,No,Yes,Yes,3,19.95
Female,No,No,Yes,4,99.8
Female,No,Yes,No,18,35.0
Male,No,No,Yes,8,66.25
Female,No,No,Yes,35,23.3
Female,No,No,Yes,1,76.0
Male,No,Yes,Yes,66,25.3
Male,No,Yes,No,8,44.55
Female,Yes,No,Yes,71,104.1
Female,Yes,Yes,Yes,43,92.55
Female,No,No,Yes,2,93.85
Male,No,No,Yes,29,101.45
Female,Yes,No,Yes,15,84.3
Male,Yes,Yes,Yes,65,94.55
Male,No,No,Yes,35,95.5
Male,No,No,Yes,64,100.3
Female,Yes,Yes,No,58,55.5
Female,No,No,Yes,18,49.85
Male,Yes,Yes,Yes,67,89.55
Male,Yes,Yes,Yes,63,19.15
Female,Yes,No,Yes,60,99.8
Male,No,No,Yes,9,84.4
Female,Yes,Yes,Yes,70,113.05
Male,Yes,No,Yes,15,101.1
Female,No,Yes,Yes,48,19.95
Male,Yes,No,Yes,12,74.15
Male,Yes,No,Yes,71,92.0
Male,No,No,Yes,44,73.85
Male,No,No,Yes,1,50.45
Male,Yes,Yes,Yes,45,24.45
Female,No,No,Yes,23,24.8
Female,Yes,No,Yes,43,64.85
Male,No,No,Yes,35,20.75
Male,Yes,No,Yes,9,68.95
Male,No,No,Yes,12,99.95
Female,Yes,No,Yes,65,109.4
Female,No,No,Yes,2,91.4
Male,No,No,Yes,27,49.0
Female,No,No,Yes,40,50.25
Female,No,No,Yes,5,75.55
Male,Yes,Yes,Yes,8,19.9
Female,Yes,No,Yes,58,97.8
Female,Yes,Yes,Yes,52,100.3
Male,Yes,No,Yes,3,55.8
Male,No,Yes,Yes,41,111.15
Male,No,No,Yes,20,98.55
Male,No,Yes,Yes,1,50.05
Male,No,Yes,Yes,4,80.8
Male,No,No,Yes,23,20.85
Female,No,No,Yes,6,19.5
Male,Yes,Yes,Yes,8,19.35
Male,No,No,Yes,18,69.5
Male,No,No,No,52,48.8
Male,No,No,Yes,31,94.5
Male,Yes,Yes,Yes,29,20.65
Female,Yes,No,Yes,36,106.05
Female,Yes,No,Yes,16,100.0
Male,Yes,No,Yes,42,108.3
Male,No,No,Yes,1,20.55
Female,No,No,Yes,60,99.65
Male,No,No,Yes,5,85.3
Male,Yes,No,Yes,22,95.9
Male,Yes,No,Yes,36,20.0
Female,No,No,Yes,4,70.4
Male,No,No,Yes,9,64.95
Male,Yes,Yes,Yes,1,74.6
Male,Yes,Yes,Yes,12,49.2
Female,No,No,Yes,23,73.75
Male,No,No,Yes,62,92.3
Male,No,No,Yes,37,98.8
Female,No,No,Yes,8,19.2
Male,Yes,No,Yes,31,88.65
Male,Yes,Yes,Yes,13,74.4
Female,No,No,Yes,24,98.75
Male,Yes,Yes,Yes,45,95.95
Female,Yes,No,Yes,69,105.4
Male,No,No,Yes,2,20.25
Male,Yes,Yes,Yes,61,106.0
Male,No,No,Yes,41,104.7
Female,No,No,No,44,49.05
Male,No,No,No,39,35.55
Male,Yes,Yes,No,72,65.1
Female,No,No,Yes,13,96.85
Female,Yes,Yes,Yes,51,69.75
Female,Yes,No,Yes,71,99.2
Male,No,No,Yes,22,96.7
Female,No,No,Yes,2,55.05
Female,No,No,Yes,56,106.8
Male,No,No,Yes,1,51.25
Female,Yes,Yes,Yes,23,57.75
Female,Yes,No,Yes,66,70.85
Female,No,No,Yes,1,19.55
Male,No,No,Yes,19,88.2
Male,No,No,Yes,11,79.5
Female,Yes,Yes,Yes,8,19.75
Female,Yes,Yes,Yes,52,98.15
Male,No,No,Yes,3,20.25
Female,Yes,Yes,Yes,51,79.15
Male,No,No,Yes,15,75.65
Male,Yes,No,Yes,64,94.25
Female,No,No,No,37,40.2
Male,No,No,Yes,13,19.95
Male,Yes,No,Yes,49,55.35
Female,No,No,Yes,45,102.15
Female,No,No,Yes,18,71.1
Male,No,No,Yes,1,74.7
Male,Yes,No,No,68,54.1
Male,No,No,Yes,54,19.65
Female,Yes,Yes,Yes,23,88.45
Male,No,No,Yes,17,76.65
Male,Yes,No,Yes,71,80.4
Female,Yes,Yes,Yes,67,19.25
Female,Yes,Yes,Yes,14,84.8
Female,No,No,No,1,25.8
Female,No,Yes,Yes,63,19.5
Female,No,No,Yes,41,68.6
Female,Yes,No,Yes,17,92.6
